16,1.35407256558e-05
2094,4.14496600342e-06
7427,3.28128097583e-06
10483,3.9031370107e-05
14686,7.16947595611e-05
48205,3.99593007364e-06
52053,7.8227772463e-05
18,6.67194530898e-05
124,2.27035735029e-05
6332,5.32978840937e-05
7008,7.39916543821e-06
18580,1.73107400035e-05
19401,5.52808870685e-05
22,2.34514037952e-05
7368,6.91650936136e-06
11861,7.68652666261e-06
35143,4.62365674247e-05
37046,4.37762118243e-05
24,4.16446179622e-06
17943,9.27894457565e-06
39804,1.82131826612e-05
28,1.28442718352e-05
15866,6.20358664306e-06
18222,1.23789732278e-05
25859,0.000141961100484
26213,8.44590855529e-06
27682,6.14494196444e-05
32,0.000180708457635
5866,7.14208625319e-05
23532,5.56581317127e-05
29423,9.63216251201e-06
37839,3.2920397699e-05
46633,2.61415533831e-05
35,3.79558364445e-05
2545,1.5919244806e-05
19870,2.52440376187e-05
25121,6.26906057579e-06
29192,1.79022682245e-05
33745,9.41469010545e-06
45003,1.93820559314e-05
41,3.21061738365e-05
13584,1.45879092243e-05
44,2.81879023749e-06
42975,9.04500143134e-06
54,6.62480852834e-05
22321,3.67727339979e-05
32125,9.3288506726e-06
42128,2.81010953685e-05
57,1.65868214978e-05
8324,4.12580099082e-06
34640,2.92573259502e-05
34683,3.58356716799e-06
59,1.65645862829e-05
6081,1.72386836442e-05
27734,1.82888582591e-05
35033,4.66631253571e-05
39116,1.89551928598e-05
40236,7.21540251369e-05
42214,5.78478740049e-06
62,7.17944935456e-05
14289,1.05067838104e-05
52428,1.82999292208e-05
66,3.68885940658e-05
15737,9.53466573907e-05
34520,6.49169526494e-06
48501,4.69269114614e-06
48515,3.73108511059e-06
52314,4.14776349972e-06
70,6.69396702538e-05
4692,2.1430384801e-05
8787,3.10052093686e-05
12543,3.75465297706e-05
32159,6.16039154409e-05
33593,8.32260220042e-05
41413,6.71462075403e-05
71,1.08249589907e-05
8693,1.02712259603e-05
35369,4.55195164126e-05
89,0.000317271070548
9795,5.3928359641e-05
26396,2.10489484345e-05
31877,5.52950563366e-05
33229,3.33126664398e-05
38410,0.00021323545798
52036,2.35826594379e-05
52560,0.000160917318507
97,3.06585234634e-05
2478,5.22172816296e-05
103,3.64959132905e-05
41096,1.075706726e-05
50930,2.89869566064e-05
104,6.10814497417e-06
39842,1.98258928689e-05
106,4.39529050731e-06
36901,7.74885467761e-06
109,9.72320938825e-06
799,1.29707550064e-05
16176,5.81443675601e-05
115,1.31324934249e-05
3189,3.90687318303e-06
14509,7.88255194839e-05
22865,2.09900144194e-05
45054,1.61124686156e-05
120,0.000171411231817
27923,1.68143638154e-05
33472,0.000607102424437
41029,9.59502507597e-05
42121,9.45185399453e-05
44326,1.77387878045e-05
